# SCOPED-OUT (non-frozen-backed-config) line ranges for number_audit.py.
# file<TAB>start_line<TAB>end_line<TAB>reason
# These are hyperparameter grids / search config / software versions / model architecture
# params with NO source in results/paper_frozen/. Classified + adversarially reviewed once
# (2026-07-01) by a dedicated SI-classification pass that erred toward calling anything DERIVED;
# it verified no frozen-backed metric hides in any range below. Tightening later only moves
# entries SCOPED-OUT -> GATED (monotonic).
supplementary_information.md	94	176	S2 model hyperparameter configuration grids + symmetric tuning-grid sizes; code-fenced yaml, no frozen source
supplementary_information.md	178	191	S3 Optuna search config + convergence prose (trials/seed/improvement); source optuna_tuning.json not in frozen archive
supplementary_information.md	421	440	S10 software version numbers table; versions, low drift, not frozen-backed
supplementary_information.md	529	530	S13 Deep Tobit MLP architecture (layer sizes, dropout); model config
supplementary_information.md	1070	1159	S17 ICP architecture / training schedule / IPW+DRO config / hyperparameter table; verified no frozen-backed metric in range
supplementary_information.md	290	291	S7 NaN-drop preprocessing threshold grid; config
supplementary_information.md	521	521	S13 Deep Tobit MLP architecture (3-layer 128-64-32 hidden units); model config
supplementary_information.md	525	534	S13 Deep Tobit censored-likelihood loss equation (indicator/normalizing constants d_i=1, 1-d_i, 1-Phi); math, not a metric
supplementary_information.md	979	981	S18 tuning-effort config (18 grid configurations + 50 Bayesian trials per model); config
supplementary_information.md	1359	1396	S17 detection-only source-exclusion design counts (WA/MI n systems, % of test set, affected regions); design, gated metrics carry pn markers
supplementary_information.md	1587	1587	S24 arsenic Optuna sweep config (6 models x 300 trials); config
supplementary_information.md	439	443	S11 random-seed grid; config
extended_data.md	180	182	ED Table 5 Panel C single-class detection-only rows (MI/WA n systems + 100% single-class design counts)
skeleton.md	826	842	Methods model-implementation hyperparameters (estimators/depth/learning-rate/layer sizes/dropout/leaves/patience)
skeleton.md	898	899	HPO grid sizes (configurations per model)
supplementary_information.md	907	915	UCMR PFOS reporting-limit protocol constants (0.004 / 0.04 ug/L), measurement metadata not derived metrics
